id_atendimento,data_venda,valor_venda,descricao_servico,valor_servico,nome_animal,peso_animal,nome_cliente,nome_funcionario,cpf_funcionario,data_atendimento,valor_total_atendimento
22,2024-09-15 00:00:00,150.0,Desparasitação,100.0,Toby,7.0,Ana Santos,Ana Santos,45678901234,2024-09-15 00:00:00,100.0
23,2024-09-17 00:00:00,270.0,Venda de Produtos da Loja,80.0,Luna,5.2,Maria Oliveira,Ana Santos,45678901234,2024-09-17 00:00:00,135.0
24,2024-09-17 00:00:00,270.0,Diária Básica,80.0,Luna,5.2,Maria Oliveira,Ana Santos,45678901234,2024-09-17 00:00:00,135.0
25,2024-09-20 00:00:00,120.0,Venda de Produtos da Loja,0.0,Parker,1.5,Arnaldo,Carlos Pereira,34567890123,2024-09-20 00:00:00,120.0
26,2024-09-22 00:00:00,275.0,Exame Parasitológico de Aves,120.0,Simba,5.5,Bruno Almeida,Paulo Souza,67890123456,2024-09-22 00:00:00,127.5
27,2024-09-22 00:00:00,275.0,Diária Básica,120.0,Luna,6.0,Bruno Almeida,Paulo Souza,67890123456,2024-09-22 00:00:00,127.5
28,2024-09-22 00:00:00,275.0,Exame Parasitológico de Aves,20.0,Luna,6.0,Bruno Almeida,Paulo Souza,67890123456,2024-09-22 00:00:00,20.0
29,2024-10-02 00:00:00,235.0,Aparação de Asas,30.0,Bella,3.0,Carlos Pereira,Ricardo Lima,89012345678,2024-10-01 00:00:00,60.0
30,2024-10-02 00:00:00,235.0,Banho,80.0,Bella,3.0,Carlos Pereira,Ricardo Lima,89012345678,2024-10-01 00:00:00,95.0
31,2024-10-02 00:00:00,235.0,Diária com Recreação,80.0,Bella,3.0,Carlos Pereira,Ricardo Lima,89012345678,2024-10-02 00:00:00,80.0
32,2024-10-05 00:00:00,30.0,Consulta Geral,30.0,Rico,0.5,Juliana Martins,Paulo Souza,67890123456,2024-10-05 00:00:00,30.0
33,2024-10-05 00:00:00,280.0,Desparasitação,200.0,Rocky,7.5,Eduardo Gonçalves,Ana Santos,45678901234,2024-10-05 00:00:00,280.0
34,2024-10-10 00:00:00,70.0,Consulta Geral,70.0,Gigi,0.25,Ricardo Lima,Ana Santos,45678901234,2024-10-10 00:00:00,70.0
35,2024-10-12 00:00:00,45.0,Exame Parasitológico de Aves,0.0,Parker,1.5,Arnaldo,Carlos Pereira,34567890123,2024-10-12 00:00:00,45.0
36,2024-10-15 00:00:00,175.0,Banho,150.0,Sasha,8.5,Carolina Ribeiro,Ana Santos,45678901234,2024-10-15 00:00:00,175.0
37,2024-10-18 00:00:00,40.0,Aplicação de Vacinas,40.0,Pipoca,1.2,Mariana Rocha,Fernanda Costa,56789012345,2024-10-18 00:00:00,40.0
38,2024-10-20 00:00:00,235.0,Aparação de Bico,50.0,Rex,2.0,Fernanda Costa,Paulo Souza,67890123456,2024-10-20 00:00:00,50.0
39,2024-10-20 00:00:00,235.0,Microchipagem,150.0,Rex,2.0,Fernanda Costa,Ana Santos,45678901234,2024-10-20 00:00:00,185.0
40,2024-10-22 00:00:00,115.9,Transporte para Consultas,50.0,Dolly,2.2,Tiago Fernandes,Ricardo Lima,89012345678,2024-10-22 00:00:00,75.9
41,2024-10-22 00:00:00,115.9,Exame Parasitológico de Aves,40.0,Dolly,2.2,Tiago Fernandes,Ricardo Lima,89012345678,2024-10-22 00:00:00,40.0
42,2024-10-25 00:00:00,400.0,Aplicação de Vacinas,100.0,Rex,8.5,João Silva,Ana Santos,45678901234,2024-10-25 00:00:00,100.0
43,2024-10-25 00:00:00,400.0,Banho Com Shampoo Antipulgas,20.0,Rex,8.5,João Silva,Paulo Souza,67890123456,2024-10-25 00:00:00,20.0
44,2024-10-25 00:00:00,400.0,Aplicação de Vacinas,200.0,Rex,8.5,João Silva,Ana Santos,45678901234,2024-10-25 00:00:00,280.0
45,2024-08-20,478.42,Diária Básica,220.8,Jo,11.9,Edward Hamilton,Michael Thompson Jr.,155-18-3789,2024-11-04,225.08
46,2024-06-01,68.9,Banho,52.67,Christopher,5.21,David Kelley,Elizabeth Barnes,501-13-4210,2024-11-12,676.57
47,2024-01-13,278.02,Tosa Completa,23.7,Bryan,43.76,Michelle Navarro,Natasha Davis,579-36-8423,2024-11-23,457.18
48,2024-01-28,237.24,Aplicação de Vacinas,112.96,Rachel,11.96,Lauren Rivera,Alexandra Taylor,351-73-8058,2024-11-09,497.21
49,2024-05-13,142.82,Corte de Unhas,242.75,Dawn,38.64,Catherine Douglas,Steven Garcia,208-36-0843,2024-11-09,166.99
50,2024-08-11,499.77,Consulta Geral,213.24,Andres,17.63,Tracy Adkins,Lori Brown,397-21-4089,2024-11-06,686.6
51,2024-09-04,428.93,Venda de Produtos da Loja,60.2,Alyssa,27.39,Rebekah Jones,Scott Tucker,817-05-3049,2024-11-02,229.69
52,2024-08-10,455.84,Desparasitação,60.53,April,41.78,Michael Peters,Richard Williams,442-73-5154,2024-11-20,299.73
53,2024-07-31,91.76,Aparação de Bico,173.02,Christopher,15.04,Gregory Wilson,Mary Ortiz,066-39-8587,2024-11-10,194.42
54,2024-07-26,348.54,Venda de Produtos da Loja,66.82,Scott,28.96,Laura Carpenter,Sherri Green,576-27-9188,2024-11-19,370.43
55,2024-01-19,240.04,Consulta Veterinária de Emergência,83.02,Sandra,37.53,Kathy Hubbard,Phillip Mccoy,438-24-5106,2024-11-09,290.99
56,2024-07-09,494.92,Venda de Produtos da Loja,157.1,Kelly,41.98,Elizabeth Nelson,Travis Mccall,272-40-5316,2024-11-14,509.3
57,2024-07-26,446.57,Tosa Completa,98.92,Julia,32.99,Haley Greene,Reginald Harrison,229-81-7330,2024-11-19,428.45
58,2024-05-16,240.73,Corte de Unhas,253.91,Suzanne,38.91,Melissa Williams,Antonio Novak,442-06-6540,2024-11-03,600.32
59,2024-10-30,479.03,Transporte para Consultas,154.96,Zachary,5.91,Jennifer Adams,Andrew Leonard,206-30-4862,2024-11-22,426.96
60,2024-07-29,439.89,Desparasitação,45.45,Luis,40.19,Cheryl Reese,Alexis Mcpherson,822-08-5563,2024-11-03,617.77
61,2024-08-19,108.62,Desparasitação,129.79,Chelsea,19.16,Stephanie Cantrell,Sydney Banks,621-28-8570,2024-11-18,185.44
62,2024-05-07,229.37,Diária Básica,215.94,Bobby,30.87,Jesse Williams,Jessica Ruiz,541-65-3493,2024-11-21,163.59
63,2024-06-25,149.58,Aparação de Asas,219.78,Kristina,49.88,Joseph Alexander,Eric Miller,322-05-6139,2024-11-14,130.99
64,2024-06-16,63.19,Consulta Veterinária de Emergência,155.16,Renee,17.19,Martin Wagner,Carolyn Moore,326-17-3837,2024-11-08,514.67
65,2024-01-22,216.35,Aplicação de Vacinas,220.84,Kyle,12.28,Anthony Wright,Dwayne Johnson,685-30-1012,2024-11-11,383.52
66,2024-01-05,177.45,Tosa Completa,210.01,David,46.36,Jessica Barnes,Gilbert Ortiz,282-09-0060,2024-11-15,259.95
67,2024-04-17,251.93,Aplicação de Vacinas,22.09,Sarah,7.34,Sandra Jacobs,Jennifer Nichols,126-41-9948,2024-11-05,296.68
68,2024-01-07,223.93,Venda de Produtos da Loja,125.84,Hector,5.59,Mrs. Patricia Smith,Steven Owens,294-79-3366,2024-11-20,630.58
69,2024-08-26,478.16,Banho,272.22,Laura,49.41,Mathew Morgan,Jennifer Gomez,132-09-6137,2024-11-18,371.19
70,2024-09-27,261.87,Consulta Veterinária de Emergência,188.14,William,10.4,Richard Garrett,Ryan Solomon,362-37-0831,2024-11-06,75.94
71,2024-03-31,320.72,Banho,285.69,Timothy,33.02,Jared Delgado,Jamie House,062-91-4763,2024-11-22,127.15
72,2024-11-16,220.54,Venda de Produtos da Loja,293.73,Rachel,26.84,Andrew Marquez,Elizabeth Taylor,093-86-7039,2024-11-10,534.56
73,2024-07-14,60.35,Aplicação de Vacinas,253.95,Heather,33.42,Amy Sims,Gabriela Green,760-36-7370,2024-11-04,320.61
74,2024-10-08,455.29,Banho,70.21,Sierra,23.35,Karen Hutchinson,Mark Baker,077-65-4511,2024-11-14,616.58
75,2024-02-06,266.04,Aplicação de Vacinas,273.29,Leonard,32.47,Shannon Thomas,Stephanie Thomas,326-72-5013,2024-11-06,559.21
76,2024-04-08,99.58,Consulta Veterinária de Emergência,244.4,Olivia,17.63,Tammie White,Amber Jones,806-34-5158,2024-11-18,631.82
77,2024-11-23,433.03,Aparação de Asas,166.85,Nathan,42.67,James Randolph,Jesus Gonzalez Jr.,808-07-2132,2024-11-02,75.52
78,2024-03-06,175.79,Corte de Dentes,206.49,Susan,14.59,Curtis Davis,Mary Gonzales,783-49-0387,2024-11-17,168.75
79,2024-11-22,303.54,Desparasitação,83.43,Christopher,6.67,Kevin Gibson,Preston Brown,769-89-4978,2024-11-10,614.78
80,2024-09-03,283.3,Tosa Completa,135.24,Derrick,46.66,Laura Hurst,Dominic Contreras,626-39-7193,2024-11-15,559.4
81,2024-07-14,245.56,Transporte para Consultas,83.42,Gabrielle,44.62,Patrick Smith,Lynn Thompson,855-98-3528,2024-11-16,152.44
82,2024-03-11,109.78,Venda de Produtos da Loja,82.09,Amber,30.21,Heather Brown,Anthony Lopez,537-84-6711,2024-11-20,400.93
83,2024-08-25,432.62,Venda de Produtos da Loja,45.54,Nancy,35.7,Jacob Weeks,Alan Myers,817-71-9406,2024-11-15,618.74
84,2024-04-17,369.32,Diária Básica,152.74,Matthew,10.29,Jordan Howard,Maxwell Yu,121-59-7550,2024-11-19,619.2
85,2024-02-27,245.86,Consulta Veterinária de Emergência,233.18,Brian,8.42,Sean Hardin,Heather Dunn,382-62-7042,2024-11-14,469.81
86,2024-07-10,149.65,Banho,112.21,Paul,22.62,Antonio Warren,Joshua Davis,131-96-9936,2024-11-21,195.0
87,2024-09-02,456.48,Consulta Veterinária de Emergência,95.19,Kelly,12.54,Joseph Stevenson,Christopher Torres,567-84-3512,2024-11-14,544.5
88,2024-01-24,237.39,Aplicação de Vacinas,291.67,Jeffrey,29.35,Marie Lewis,Nicole Stewart,692-68-5348,2024-11-12,569.77
89,2024-05-10,184.93,Aparação de Bico,162.59,Dana,43.88,Raymond Patterson,Larry Lewis,268-08-7012,2024-11-23,185.05
90,2024-07-19,355.96,Tosa Higiênica,91.9,David,41.09,Monica Buck,Anita Cooke,535-54-9357,2024-11-04,71.18
91,2024-04-02,490.67,Consulta Veterinária de Emergência,244.2,Lisa,15.86,Katie Webb,Ethan Crawford,877-04-3753,2024-11-18,562.3
92,2024-09-04,58.85,Tosa Completa,115.15,Lori,12.86,Joseph Watson,Zachary Clements,429-32-4119,2024-11-05,444.85
93,2024-10-05,250.95,Corte de Dentes,62.85,Albert,38.83,Jessica Mcgee,William Gardner,196-49-8667,2024-11-03,699.48
94,2024-01-04,408.63,Tosa Higiênica,95.8,William,31.68,John Herrera,Teresa Davis,134-03-1129,2024-11-01,207.07
95,2024-02-09,241.87,Venda de Produtos da Loja,114.87,Joshua,28.78,Cindy Morris,April Barker,733-77-4214,2024-11-09,269.29
96,2024-07-04,487.78,Aplicação de Vacinas,40.34,Emily,27.73,Brandon Mcmillan,Jason Duncan,447-82-9062,2024-11-05,207.11
97,2024-08-22,262.91,Transporte para Consultas,76.3,Joy,42.24,Joseph Gross,Jessica Pena,842-35-9046,2024-11-09,181.25
98,2024-05-01,467.55,Aplicação de Vacinas,214.04,Keith,7.27,Donna Shaffer,Melissa Price,585-32-0069,2024-11-04,251.57
99,2024-07-21,299.18,Consulta Veterinária de Emergência,24.03,Alexis,49.27,Ronald Cline,Elaine Neal,447-60-1225,2024-11-03,639.99
100,2024-05-17,360.51,Venda de Produtos da Loja,50.04,John,48.42,David Gilbert,Sarah Rasmussen,689-56-8404,2024-11-19,305.88
101,2024-10-31,498.29,Transporte para Consultas,156.6,Rebecca,9.65,Theresa Marquez,Gregory Watson,878-22-3274,2024-11-13,400.98
102,2024-06-01,384.62,Venda de Produtos da Loja,81.17,Mary,33.64,Jorge Gordon,Sarah Moore,223-81-5640,2024-11-06,615.07
103,2024-03-29,310.84,Consulta Geral,140.15,Ashley,28.69,Robert Young,Mr. Jeffrey Johnson DDS,558-34-3701,2024-11-08,540.36
104,2024-03-22,409.85,Diária com Recreação,116.37,David,14.1,Matthew Lowery,Brittany Murray,533-20-0331,2024-11-17,372.38
105,2024-03-21,76.67,Banho,91.44,Karen,46.69,Melinda Conway,Lisa Anderson,484-40-2056,2024-11-21,479.3
106,2024-10-10,65.55,Exame Parasitológico de Aves,189.04,Leonard,29.3,Justin Price,Teresa Jones,202-04-9753,2024-11-12,461.91
107,2024-11-09,412.39,Aplicação de Vacinas,218.4,Benjamin,46.79,Joel Wallace,Alan Moore,560-95-2200,2024-11-15,271.74
108,2024-03-27,207.42,Venda de Produtos da Loja,213.87,Margaret,28.23,Steven Petersen,Jo Escobar,642-48-1748,2024-11-17,692.87
109,2024-07-12,466.51,Aparação de Bico,142.98,Thomas,37.31,Jennifer Mitchell,Ashley Haynes,134-56-5308,2024-11-12,259.54
110,2024-11-08,395.21,Venda de Produtos da Loja,251.32,Joshua,41.0,Andrea Lloyd,Christopher Hayden,401-83-4810,2024-11-21,224.33
111,2024-10-15,457.67,Aparação de Bico,180.44,Joel,36.11,John Lewis,Timothy Chavez,109-34-5385,2024-11-05,269.31
112,2024-06-17,186.44,Exame de Sangue,110.7,Timothy,18.15,Christopher Calhoun,Cory Higgins Jr.,065-44-7742,2024-11-16,457.8
113,2024-10-25,166.42,Aplicação de Vacinas,96.17,Tamara,12.39,Faith Cunningham,Lisa Cervantes,640-88-2438,2024-11-15,278.1
114,2024-10-09,473.38,Aparação de Asas,107.19,Linda,42.91,James Ortiz,Brittany Acosta,477-18-9476,2024-11-02,219.56
115,2024-09-03,404.8,Consulta Veterinária de Emergência,127.59,Paula,21.63,Rose Reyes,Catherine Warren,128-43-2722,2024-11-05,387.28
116,2024-07-02,256.8,Consulta Geral,261.73,Sean,9.31,Steven Dorsey,Paula Bates,305-77-6348,2024-11-01,110.34
117,2024-10-21,242.93,Diária com Recreação,224.68,Nicole,38.2,Charles Carr,Jeffrey Johnson,396-42-9892,2024-11-21,675.91
118,2024-05-19,346.48,Venda de Produtos da Loja,88.98,Michael,17.66,Jennifer Sanchez,Alejandra Mullen,321-85-1132,2024-11-22,673.83
119,2024-06-29,53.88,Corte de Unhas,89.0,Nicholas,32.19,Barbara Matthews,Priscilla Spencer,530-05-0562,2024-11-02,144.78
120,2024-01-18,236.26,Banho Com Shampoo Antipulgas,50.35,Melissa,23.43,Kyle Bailey,Rose Phillips,194-58-2201,2024-11-23,299.82
121,2024-09-05,317.52,Diária com Recreação,167.71,Anthony,17.85,Caroline Guzman,Rebecca Kirk,337-43-4487,2024-11-14,553.2
122,2024-10-23,129.21,Microchipagem,268.03,Jerry,6.45,Heather Roth,Mary Johnson,223-63-2073,2024-11-10,244.09
123,2024-11-19,458.15,Consulta Geral,104.86,Heather,15.98,Mark Bryan,Melissa Moreno,202-43-8636,2024-11-04,655.22
124,2024-05-01,283.56,Consulta Geral,104.95,David,44.81,Anthony Mitchell,Benjamin Reid,058-28-8215,2024-11-22,193.63
125,2024-06-16,484.13,Banho Com Shampoo Antipulgas,284.38,Stacey,24.06,Benjamin Vance,Brian Ryan,444-21-9675,2024-11-14,387.68
126,2024-07-08,197.42,Transporte para Banho e Tosa,164.92,Abigail,11.83,Raymond Maddox,Douglas Gomez,790-09-9052,2024-11-01,84.39
127,2024-07-05,492.5,Desparasitação,192.8,Patrick,45.0,Nicole Williams,John Hernandez,637-60-9464,2024-11-12,309.79
128,2024-02-10,144.25,Diária Básica,296.87,Kenneth,36.18,Mark Berry,Joshua Brown,489-05-7866,2024-11-21,99.84
129,2024-08-20,407.61,Venda de Produtos da Loja,278.07,Bruce,27.01,Michelle Soto,Brenda Tanner,446-56-0968,2024-11-17,518.81
130,2024-06-16,118.47,Banho,43.42,Jeremy,33.09,Mrs. Angela Hoffman,Benjamin Kelley,451-08-2588,2024-11-02,612.97
131,2024-03-22,270.98,Consulta Geral,101.13,Miguel,39.17,Melissa Moore,Michelle Phillips,565-61-8688,2024-11-20,130.74
132,2024-05-20,283.04,Tosa Completa,294.53,Dennis,36.84,Derrick Rogers,Nicole Spears,840-41-4149,2024-11-15,498.6
133,2024-07-10,145.55,Exame Parasitológico de Aves,264.76,Jaime,42.06,Todd Carr,Daniel Williams,176-97-6249,2024-11-17,273.7
134,2024-03-25,204.31,Aparação de Asas,84.22,Brenda,45.8,Sandra Mccarty,Andrea Cox,650-03-6350,2024-11-04,247.82
135,2024-08-30,361.98,Aplicação de Vacinas,59.3,Heather,8.5,Matthew Brown,Jon Davis DDS,137-82-7344,2024-11-14,110.35
136,2024-02-08,226.34,Aparação de Asas,122.15,Denise,12.26,George Hunt,Miguel Gomez,610-10-9192,2024-11-23,271.18
137,2024-03-06,127.84,Aparação de Bico,134.31,Jeremiah,17.94,Nathan Harmon,Victoria Perry,464-64-3455,2024-11-12,112.62
138,2024-10-20,84.07,Tosa Completa,126.28,Laura,43.7,Bonnie Johnson,Stanley Wang,311-58-5045,2024-11-11,237.45
139,2024-10-15,391.72,Consulta Geral,124.08,Shawn,30.7,Mrs. Whitney Montoya,Timothy Reyes,313-43-5167,2024-11-21,565.71
140,2024-02-23,50.63,Exame Parasitológico de Aves,58.81,Angela,39.66,Kaitlin Torres,Lynn Griffin,116-15-7603,2024-11-22,310.96
141,2024-02-15,176.91,Aparação de Asas,122.42,David,29.9,Paul Cook,James Robinson,259-43-3864,2024-11-21,547.33
142,2024-02-17,193.93,Diária Básica,150.45,Frank,49.61,Alejandra Watkins,Catherine Payne,446-25-1205,2024-11-03,187.66
143,2024-04-25,107.04,Aparação de Asas,59.16,Randy,28.81,Molly Horn,Gary Ewing,189-37-3403,2024-11-23,329.43
144,2024-03-27,357.91,Diária Básica,194.14,Jasmine,20.0,Crystal Richardson,Angela Smith,576-71-1736,2024-11-03,464.08
145,2024-02-04,77.15,Consulta Veterinária de Emergência,29.48,Benjamin,46.6,Steven Thomas,Shawn Oconnor,211-19-6386,2024-11-10,476.6
146,2024-04-23,130.51,Banho,248.49,Seth,12.8,Melissa Hays,Martin Rice DDS,706-49-8185,2024-11-18,698.09
147,2024-03-29,187.0,Diária Básica,218.41,Kevin,43.59,Cameron Fisher,Samantha Werner,821-79-8126,2024-11-13,153.04
148,2024-09-06,419.21,Consulta Geral,257.95,Beverly,44.19,Eric David,Anthony Bass,706-95-5769,2024-11-16,254.27
149,2024-02-09,306.45,Diária com Recreação,61.59,Deborah,13.56,Kathryn Barker,Preston Hayes,468-81-5894,2024-11-15,556.13
150,2024-06-23,107.24,Venda de Produtos da Loja,91.54,George,40.4,Laura Nielsen,Monica Roman,707-97-6747,2024-11-04,295.44
151,2024-05-06,113.54,Exame Parasitológico de Aves,291.02,Danielle,24.45,Robert Conner,Carolyn Williamson,435-32-4832,2024-11-10,392.78
152,2024-11-09,319.35,Transporte para Consultas,89.77,Kevin,41.39,Caroline Martin,Christina Lewis,242-11-0461,2024-11-22,210.86
153,2024-04-28,64.06,Aplicação de Vacinas,146.54,Kyle,18.97,Jason Vasquez,Natasha Byrd,144-44-9459,2024-11-15,677.31
154,2024-11-02,296.55,Venda de Produtos da Loja,115.98,Andrew,36.26,Tiffany Mosley,Jim Martin,335-02-3353,2024-11-21,513.43
155,2024-04-08,183.55,Consulta Veterinária de Emergência,202.97,Rachel,32.93,Matthew Griffin,Paul Nguyen,237-25-2336,2024-11-06,597.46
156,2024-10-20,316.03,Diária com Recreação,99.53,Ronald,34.99,Taylor Jones,Kimberly Wood,161-35-7133,2024-11-06,287.55
157,2024-07-06,270.94,Venda de Produtos da Loja,297.64,Evan,16.53,Heather Owen,Ashley Brown,325-90-3289,2024-11-19,673.68
158,2024-06-03,289.96,Desparasitação,130.31,Michelle,20.42,Bradley Johnston,Kevin Walker,874-31-1681,2024-11-09,385.45
159,2024-06-09,311.38,Aparação de Bico,259.01,Kristi,46.16,Katherine Coleman,Matthew Padilla,282-38-6742,2024-11-02,450.67
160,2024-01-30,186.68,Diária com Recreação,132.04,Tony,41.51,Michelle Dickson,Jason Rivera,402-04-3940,2024-11-18,463.1
161,2024-06-30,213.36,Tosa Completa,89.02,Kelly,15.83,Kevin Guerrero,Ashley Jones,355-42-4698,2024-11-11,478.81
162,2024-01-23,193.05,Aplicação de Vacinas,140.17,Ann,39.51,Sylvia Gill,Amy Quinn,225-78-1737,2024-11-04,689.46
163,2024-03-06,392.67,Tosa Completa,159.04,Kimberly,21.85,Amber Austin,Tracy Watkins,481-02-6542,2024-11-14,666.85
164,2024-03-09,311.64,Corte de Unhas,96.72,Amy,16.15,Christine Chandler,Zachary Love,871-83-6067,2024-11-01,378.58
165,2024-10-07,397.0,Desparasitação,47.6,Beverly,16.61,Lynn Richardson,Lisa Evans,109-35-3053,2024-11-02,119.28
166,2024-03-26,338.37,Venda de Produtos da Loja,88.21,Kevin,21.08,Joanne Jackson,Billy Kim,521-70-3742,2024-11-23,581.86
167,2024-09-15,52.61,Venda de Produtos da Loja,37.61,Nathan,21.8,Katherine Medina,Samantha Rice,509-72-2253,2024-11-16,651.85
168,2024-05-19,136.9,Consulta Geral,235.39,Kathleen,42.43,Cynthia Morgan,Daniel Gonzalez,278-92-7487,2024-11-21,394.64
169,2024-06-06,173.83,Banho Com Shampoo Antipulgas,64.53,Dean,22.46,Julie Beasley,Danielle Case,436-64-5525,2024-11-14,597.42
170,2024-08-13,469.32,Diária com Recreação,63.51,Denise,15.78,Michael Adams,Angela Lopez,104-40-0503,2024-11-18,428.77
171,2024-11-22,155.82,Transporte para Banho e Tosa,153.54,Christopher,42.65,Taylor Morgan,Taylor Roth,888-13-2895,2024-11-12,87.77
172,2024-02-09,462.86,Aparação de Asas,190.44,Andrew,7.05,Mrs. Natalie Welch,Mary Stuart,104-54-1818,2024-11-03,189.0
173,2024-10-07,226.25,Banho,222.3,Crystal,34.07,Thomas Boyd,Samantha Leblanc,379-80-5797,2024-11-16,93.58
174,2024-06-06,492.03,Diária com Recreação,243.83,Angela,29.21,Jerry Ross,Rebecca Garcia,412-19-3019,2024-11-09,139.15
175,2024-07-19,468.69,Corte de Unhas,221.25,Christina,44.5,Cathy Mitchell,Gary Harris,089-13-2976,2024-11-03,80.27
176,2024-09-22,71.14,Banho,202.73,Michael,41.61,Jay Webster,Matthew Cannon,486-95-1138,2024-11-16,338.31
177,2024-10-06,239.91,Corte de Unhas,97.67,Julia,44.96,Sean Bailey,Amanda Miller,486-84-2525,2024-11-03,447.08
178,2024-01-05,82.6,Consulta Geral,247.57,Clayton,14.51,Louis Schneider,Steve Perkins,461-85-5013,2024-11-21,108.0
179,2024-02-01,324.83,Microchipagem,113.22,Debbie,46.74,John Brown,Austin Medina,795-06-6766,2024-11-13,493.32
180,2024-07-24,143.38,Tosa Completa,23.98,Ryan,20.0,Thomas Silva,Cynthia Davis,480-74-3493,2024-11-21,521.93
181,2024-05-13,282.41,Consulta Geral,164.11,Angelica,12.04,Joseph Jacobs,Tanya Rodriguez,394-84-0952,2024-11-12,695.91
182,2024-07-13,434.41,Venda de Produtos da Loja,48.61,Ashley,40.78,Kevin Moss,Roberto Murillo,506-66-2674,2024-11-05,547.91
183,2024-01-06,371.81,Aparação de Bico,48.12,Scott,49.7,Jenna Pierce,Barbara King,793-78-6626,2024-11-07,132.46
184,2024-01-25,350.01,Diária com Recreação,124.99,Elizabeth,41.31,Kristina Morales,Michelle Logan,691-62-4386,2024-11-06,636.28
185,2024-08-20,188.84,Tosa Completa,234.98,Selena,42.5,Deborah Howell,Edward Walter,128-48-1698,2024-11-12,605.39
186,2024-07-22,490.39,Transporte para Consultas,126.95,Elizabeth,40.52,Rebekah Roy,Kimberly Everett,309-61-0962,2024-11-18,661.71
187,2024-02-22,347.21,Venda de Produtos da Loja,123.97,Amy,24.96,Jeremy Padilla,Richard Benitez,860-98-2371,2024-11-09,106.38
188,2024-02-04,158.34,Exame de Sangue,133.52,Madeline,46.95,John Jones,Matthew Riley,624-72-2503,2024-11-04,116.98
189,2024-11-20,472.71,Diária com Recreação,200.4,Susan,33.0,Ana Davis MD,Jill Wilson,247-50-2096,2024-11-05,71.75
190,2024-02-26,283.08,Diária com Recreação,297.68,Alexandra,22.73,Joseph Whitney,Carolyn Jordan,443-60-8230,2024-11-08,357.36
